|post_id|post_text|comment_id|comment_text|author_name|favorite_count|retweet_count
0|1349099290707243010|@Xchrispatrick 💚|1349288696982495233|@Spotify @Xchrispatrick Chris really fucking with the shits|"⚔Mugen⚔ | Watching AoT & JJK |"|0|0
1|1349099290707243010|@Xchrispatrick 💚|1349231138028609536|@Spotify @Xchrispatrick I think this is the first time anyone has ever used the green heart lmao 💚|Blizz|0|0
2|1349099290707243010|@Xchrispatrick 💚|1349173466885468160|@Spotify @Xchrispatrick OH MY GOD CHRIS PATRICK YOU LEGENDDDDDD!!!!!|Cicada|0|0
3|1349099290707243010|@Xchrispatrick 💚|1349133936434286593|@Spotify @Xchrispatrick Yooooooooo|Caleb (chris patrick fan club)|1|0
4|1349099290707243010|@Xchrispatrick 💚|1349114336237789188|@Spotify @Xchrispatrick This is cute 💚|MF HitchFlock 🕊|5|0
5|1349099290707243010|@Xchrispatrick 💚|1349113128097820676|@Spotify @Xchrispatrick I wonder when Spotify’s gonna follow @_thekingtrey and @GroovyNilo|MMY|1|1
6|1349099290707243010|@Xchrispatrick 💚|1349100607550926848|@Spotify @blazerdontmiss @Xchrispatrick so yall just ignoring me huh https://t.co/patPlYFIO0|𝜔𝜎𝑙ẜ|41|0
7|1349099290707243010|@Xchrispatrick 💚|1349100023934545920|@Spotify @Xchrispatrick Me after these next couple of months 😈💪🏽|mac|2|0
8|1349015766876762115|@Beertheist Day 12 - The Wellerman has come for us all.|1349100525967581185|"@Spotify @Beertheist Where’s the sea shanty playlist the public demands?
(Ideally with some instruments and lyrics)"|Batz, but ✨festive✨|6|0
9|1349015766876762115|@Beertheist Day 12 - The Wellerman has come for us all.|1349017048639266816|@Spotify @Beertheist You got a favorite Playlist?|Yoinkies|12|0
10|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349315497960083456|"@Spotify Hey Spotify great tweet but I have another question.

How are you today?"|HeroBudu|1|0
11|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349233239525715971|@Spotify 4|Jay Rayner|0|0
12|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349233115517116418|@Spotify One of my favorite new features!!|Rachel Fusselman|0|0
13|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349125580101472261|@Spotify Why did you remove the fifth season album and remember me album!! Give me back oh my girl albums|mozzi🤏|0|0
14|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349123033470967808|@Spotify Does this mean my toddler won't be able to listen to Real Niggaz|yourfatherjorge|1|0
15|1348740897803005957|"Hey, parents 👋
You can now share music playlists with your little ones in the Spotify Kids app 🥳 https://t.co/xtZEHy7IjX"|1349050426134552576|@Spotify Please stop with the ads i’m so tired please everytime i get an ad i just start breaking down and crying b… https://t.co/avL5jZiOxC|bruv|0|0
